Model: EmbBERT

Dataset		Acc	F1	MCC	SCC	CI Acc	CI F1	CI MCC	CI SCC
news	90,63	90,61	87,51	N/A	0,00	0,00	0,00	N/A
rte	49,28	49,22	-1,15	N/A	2,75	2,88	5,07	N/A
imdb	84,01	84,01	68,04	N/A	0,00	0,00	0,00	N/A
mnli-m	67,10	67,14	50,74	N/A	0,00	0,00	0,00	N/A
limit	74,10	74,93	46,84	N/A	0,00	0,00	0,00	N/A
emotion_split	89,90	89,97	86,71	N/A	0,00	0,00	0,00	N/A
cola	64,94	62,68	10,66	N/A	2,03	0,60	0,99	N/A
mnli-mm	68,05	67,96	52,10	N/A	0,00	0,00	0,00	N/A
snips	97,93	97,93	97,59	N/A	0,00	0,00	0,00	N/A
wnli	12,68	11,46	-74,55	N/A	0,00	0,00	0,00	N/A
qqp	82,35	82,45	62,59	N/A	0,00	0,00	0,00	N/A
sst2	80,96	80,96	61,91	N/A	0,00	0,00	0,00	N/A
stsb	N/A	N/A	N/A	49,28	N/A	N/A	N/A	0,00
nlu	94,05	94,10	93,36	N/A	0,00	0,00	0,00	N/A
bull	86,60	86,61	84,10	N/A	0,00	0,00	0,00	N/A
mrpc	68,14	67,99	25,72	N/A	0,34	0,00	0,69	N/A
qnli	68,06	67,94	36,53	N/A	0,00	0,00	0,00	N/A



Model: NanoBERTEfficient

Dataset		Acc	F1	MCC	SCC	CI Acc	CI F1	CI MCC	CI SCC
news	89,51	89,49	86,02	N/A	0,00	0,00	0,00	N/A
rte	53,79	53,05	6,42	N/A	0,00	0,00	0,00	N/A
imdb	82,35	82,35	64,70	N/A	0,00	0,00	0,00	N/A
mnli-m	34,19	32,45	0,78	N/A	0,00	0,00	0,00	N/A
limit	76,40	76,84	47,89	N/A	0,00	0,00	0,00	N/A
emotion_split	80,85	80,72	74,55	N/A	0,00	0,00	0,00	N/A
cola	64,91	62,54	9,57	N/A	0,00	0,00	0,00	N/A
mnli-mm	33,59	27,19	0,85	N/A	0,00	0,00	0,00	N/A
snips	97,29	97,29	96,84	N/A	0,00	0,00	0,00	N/A
wnli	40,85	40,02	-15,61	N/A	0,00	0,00	0,00	N/A
qqp	63,18	48,93	0,00	N/A	0,00	0,00	0,00	N/A
sst2	77,87	77,82	55,82	N/A	0,00	0,00	0,00	N/A
stsb	N/A	N/A	N/A	19,58	N/A	N/A	N/A	0,00
nlu	89,46	89,43	88,20	N/A	0,00	0,00	0,00	N/A
bull	85,58	85,50	82,77	N/A	0,00	0,00	0,00	N/A
mrpc	66,67	63,40	13,28	N/A	0,00	0,00	0,00	N/A
qnli	59,58	59,34	19,23	N/A	0,00	0,00	0,00	N/A



